"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Clifton McNeeley","1947","PIT","1","1","Texas-El Paso","","","","","","","","","","","","","","","","",""
"Glen Selbo","1947","TRH","2","2","Wisconsin","1","13","","42","","23",".196","",".759","","3.2","","1.8","-0.2","","",""
"Bulbs Ehlers","1947","BOS","3","3","Purdue","2","99","","800","","177",".286","",".618","","8.1","","1.8","3.0","","",""
"Walt Dropo","1947","PRO","4","4","UConn","","","","","","","","","","","","","","","","",""
"Dick Holub","1947","NYK","5","5","Long Island University","1","48","","504","","37",".295","",".633","","10.5","","0.8","4.2","","",""
"Chink Crossin","1947","PHW","6","6","Penn","3","147","","694","","223",".318","",".711","","4.7","","1.5","3.7","","",""
"Jack Underman","1947","STB","7","7","Ohio State","","","","","","","","","","","","","","","","",""
"Paul Huston","1947","CHS","8","8","Ohio State","1","46","","164","","27",".237","",".697","","3.6","","0.6","1.2","","",""
"Dick O'Keefe","1947","WSC","9","9","Santa Clara","4","172","","888","37","160",".272","",".640","","5.2","2.2","0.9","1.7","","",""
"Larry Killick","1947","BLB","10","10","University of Vermont","","","","","","","","","","","","","","","","",""
"Robert Bolyard","1947","BLB","","11","Toledo","","","","","","","","","","","","","","","","",""
"Elmer Gainer","1947","BLB","","12","DePaul","2","20","","29","","10",".227","",".643","","1.5","","0.5","-0.3","","",""
"Harry Gallatin","1947","BLB","","13","Truman State University","10","682","15813","8843","6684","1208",".398","",".773","31.9","13.0","11.9","1.8","78.4",".182","",""
"Scotty Hamilton","1947","BLB","","14","West Virginia","","","","","","","","","","","","","","","","",""
"Hugh Hampton","1947","BLB","","15","High Point University","","","","","","","","","","","","","","","","",""
"Bob Jake","1947","BLB","","16","University of Vermont","","","","","","","","","","","","","","","","",""
"Charles Raynor","1947","BLB","","17","Houston","","","","","","","","","","","","","","","","",""
"Chick Reiser","1947","BLB","","18","NYU","3","171","","1773","","346",".321","",".772","","10.4","","2.0","13.2","","",""
"John Rusinko","1947","BLB","","19","Penn State","","","","","","","","","","","","","","","","",""
"Bob Alemeida","1947","BOS","","20","","","","","","","","","","","","","","","","","",""
"Hank Biasatti","1947","BOS","","21","Long Island University","1","6","","6","","0",".400","",".500","","1.0","","0.0","0.1","","",""
"Johnny Ezersky","1947","BOS","","22","Rhode Island","3","135","","1031","","169",".288","",".669","","7.6","","1.3","1.5","","",""
"George Felt","1947","BOS","","23","Northwestern","","","","","","","","","","","","","","","","",""
"Jack Hewson","1947","BOS","","24","Temple","1","24","","65","","1",".247","",".700","","2.7","","0.0","0.1","","",""
"John Kelly","1947","BOS","","25","Notre Dame","","","","","","","","","","","","","","","","",""
"George Petrovick","1947","BOS","","26","","","","","","","","","","","","","","","","","",""
"Gene Stump","1947","BOS","","27","DePaul","3","148","","783","","118",".303","",".692","","5.3","","0.8","1.1","","",""
"Ralph Bishop","1947","CHS","","28","Washington","","","","","","","","","","","","","","","","",""
"Jimmy Darden","1947","CHS","","29","Denver","1","26","","211","","67",".321","",".688","","8.1","","2.6","-0.2","","",""
"Hank Decker","1947","CHS","","30","West Texas A&M University","","","","","","","","","","","","","","","","",""
"Andy Phillip","1947","CHS","","31","Illinois","11","701","15378","6384","2395","3759",".368","",".695","32.2","9.1","4.4","5.4","53.3",".077","",""
"Jim Pollard","1947","CHS","","32","Stanford","7","438","9391","5762","2487","1417",".360","",".750","35.4","13.2","7.8","3.2","34.9",".093","",""
"Ben Schadler","1947","CHS","","33","Northwestern","1","37","","56","","6",".198","",".769","","1.5","","0.2","-0.5","","",""
"Don Smith","1947","CHS","","34","Minnesota","1","8","","6","","2",".154","",".667","","0.8","","0.3","-0.1","","",""
"Jack Stone","1947","CHS","","35","Kansas State","","","","","","","","","","","","","","","","",""
